university,query,total_articles
University College London,"""University College London""",5227
London School of Economics,"""London School of Economics""",3980
University of Oxford,"""University of Oxford""",3170
Imperial College London,"""Imperial College London""",2797
University of Cambridge,"""University of Cambridge""",2388
University of Manchester,"""University of Manchester""",1828
University of Edinburgh,"""University of Edinburgh""",1662
Cardiff University,"""Cardiff University""",1431
University of Bristol,"""University of Bristol""",1344
University of Birmingham,"""University of Birmingham""",1315
University of Leeds,"""University of Leeds""",1297
University of Sheffield,"""University of Sheffield""",1211
Durham University,"""Durham University""",1196
Newcastle University,"""Newcastle University""",1146
University of Nottingham,"""University of Nottingham""",1117
University of Exeter,"""University of Exeter""",1050
University of Warwick,"""University of Warwick""",1039
Queen Mary University of London,"""Queen Mary University of London""",1037
University of York,"""University of York""",1032
University of Liverpool,"""University of Liverpool""",939
University of Southampton,"""University of Southampton""",929
King's College London,"""King's College London""",849
University of Glasgow,"""University of Glasgow""",817
Queen's University Belfast,"""Queen's University Belfast""",139
